PERMNO,date,RET
10107,20200102,0.018516
10107,20200103,-0.012452
10107,20200106,0.002585
10107,20200107,-0.009118
10107,20200108,0.015928
10107,20200109,0.012493
10107,20200110,-0.004627
10107,20200113,0.012024
10107,20200114,-0.007043
10107,20200115,0.006476
10107,20200116,0.018323
10107,20200117,0.005597
10107,20200121,-0.003591
10107,20200122,-0.004805
10107,20200123,0.006156
10107,20200124,-0.010077
10107,20200127,-0.016723
10107,20200128,0.019596
10107,20200129,0.015593
10107,20200130,0.028208
10107,20200131,-0.014759
10107,20200203,0.024379
10107,20200204,0.032917
10107,20200205,-0.001221
10107,20200206,0.020734
10107,20200207,0.001416
10107,20200210,0.026157
10107,20200211,-0.022575
10107,20200212,0.001464
10107,20200213,-0.005414
10107,20200214,0.008927
10107,20200218,0.010143
10107,20200219,0.002991
10107,20200220,-0.015271
10107,20200221,-0.031613
10107,20200224,-0.043116
10107,20200225,-0.016502
10107,20200226,0.012495
10107,20200227,-0.070459
10107,20200228,0.024213
10107,20200302,0.066539
10107,20200303,-0.047919
10107,20200304,0.036715
10107,20200305,-0.025095
10107,20200306,-0.028267
10107,20200309,-0.067773
10107,20200310,0.068384
10107,20200311,-0.045302
10107,20200312,-0.094838
10107,20200313,0.142169
10107,20200316,-0.147390
10107,20200317,0.082337
10107,20200318,-0.042096
10107,20200319,0.016453
10107,20200320,-0.037559
10107,20200323,-0.009975
10107,20200324,0.090896
10107,20200325,-0.009573
10107,20200326,0.062551
10107,20200327,-0.041061
10107,20200330,0.070341
10107,20200331,-0.015727
10107,20200401,-0.035508
10107,20200402,0.020709
10107,20200403,-0.009210
10107,20200406,0.074368
10107,20200407,-0.010770
10107,20200408,0.010031
10107,20200409,0.000061
10107,20200413,0.002240
10107,20200414,0.049483
10107,20200415,-0.010478
10107,20200416,0.030021
10107,20200417,0.008812
10107,20200420,-0.019821
10107,20200421,-0.041357
10107,20200422,0.033965
10107,20200423,-0.012102
10107,20200424,0.018259
10107,20200427,-0.002865
10107,20200428,-0.024361
10107,20200429,0.044874
10107,20200430,0.010032
10107,20200501,-0.025891
10107,20200504,0.024460
10107,20200505,0.010736
10107,20200506,0.009847
10107,20200507,0.005807
10107,20200508,0.005882
10107,20200511,0.011154
10107,20200512,-0.022652
10107,20200513,-0.015122
10107,20200514,0.004339
10107,20200515,0.014568
10107,20200518,0.009554
10107,20200519,-0.006922
10107,20200520,0.013832
10107,20200521,-0.012011
10107,20200522,0.000436
10107,20200526,-0.010572
10107,20200527,0.001322
10107,20200528,-0.002255
10107,20200529,0.010198
10107,20200601,-0.002292
10107,20200602,0.011377
10107,20200603,0.002434
10107,20200604,-0.013164
10107,20200605,0.023398
10107,20200608,0.006197
10107,20200609,0.007645
10107,20200610,0.037092
10107,20200611,-0.053698
10107,20200612,0.007892
10107,20200615,0.006392
10107,20200616,0.024505
10107,20200617,0.003461
10107,20200618,0.010708
10107,20200619,-0.005960
10107,20200622,0.027774
10107,20200623,0.006681
10107,20200624,-0.020158
10107,20200625,0.012636
10107,20200626,-0.020016
10107,20200629,0.010747
10107,20200630,0.025549
10107,20200701,0.005847
10107,20200702,0.007621
10107,20200706,0.021526
10107,20200707,-0.011628
10107,20200708,0.021993
10107,20200709,0.007001
10107,20200710,-0.003033
10107,20200713,-0.030889
10107,20200714,0.006181
10107,20200715,-0.001488
10107,20200716,-0.019804
10107,20200717,-0.005100
10107,20200720,0.042981
10107,20200721,-0.013469
10107,20200722,0.014371
10107,20200723,-0.043495
10107,20200724,-0.006122
10107,20200727,0.012668
10107,20200728,-0.008977
10107,20200729,0.010098
10107,20200730,-0.000784
10107,20200731,0.005444
10107,20200803,0.056241
10107,20200804,-0.015009
10107,20200805,-0.001641
10107,20200806,0.016014
10107,20200807,-0.017888
10107,20200810,-0.019908
10107,20200811,-0.023385
10107,20200812,0.028567
10107,20200813,-0.002342
10107,20200814,0.000958
10107,20200817,0.006606
10107,20200818,0.005754
10107,20200819,-0.006052
10107,20200820,0.023271
10107,20200821,-0.007270
10107,20200824,0.003145
10107,20200825,0.013009
10107,20200826,0.021620
10107,20200827,0.024554
10107,20200828,0.010283
10107,20200831,-0.014766
10107,20200901,0.007715
