level_0,index,created_at,text,url,replies,retweets,favorites,user,bioguide_id,party,state
6046,152473,2017-09-29 19:14:00,  @GlennKesslerWP: Via @TaxPolicyCenter: Trump tax plan gives 97.5% of the top 0.1 percent an average tax cut of 750K   ,https://twitter.com/SenBobCasey/status/913844428284055552,16,109,99,SenBobCasey,C001070,D,PA
6047,152474,2017-09-29 19:08:00,"Just take a look at this graph. Who would you say this plan favors, the middle class or the top 0.1%?  ",https://twitter.com/SenBobCasey/status/913842819286093824,20,134,120,SenBobCasey,C001070,D,PA
6048,152475,2017-09-29 19:06:00,@TooterTwetter @SenateDems @realDonaldTrump Because the also eliminate the individual exemption.  ,https://twitter.com/SenBobCasey/status/913842315952877568,1,3,1,SenBobCasey,C001070,D,PA
6049,152476,2017-09-29 19:01:00,"Page 4: the top 1% (those making more than $730,000/yr) get 50% of all tax breaks in this plan.  ",https://twitter.com/SenBobCasey/status/913841135596040192,16,147,121,SenBobCasey,C001070,D,PA
6050,152477,2017-09-29 18:55:00,"Instead of helping the middle class, this plan leaves them worse off while funding giveaways to the super-rich. How is that fair?",https://twitter.com/SenBobCasey/status/913839791472566273,31,131,247,SenBobCasey,C001070,D,PA
6051,152478,2017-09-29 18:55:00,25% of middle class families would pay more while the wealthiest Americans get a massive tax cut. Thatäó»s just wrong.,https://twitter.com/SenBobCasey/status/913839558625808384,12,108,170,SenBobCasey,C001070,D,PA
6052,152479,2017-09-29 18:53:00,The non-partisan @TaxPolicyCenter has released its first analysis of the GOP tax plan. This is no miracle.  ,https://twitter.com/SenBobCasey/status/913839240680796160,9,103,139,SenBobCasey,C001070,D,PA
6053,152480,2017-09-29 18:32:00,".@realDonaldTrump Raising taxes on 25% of middle-class families does not sound like ""a miracle for the middle classäó_  ",https://twitter.com/SenBobCasey/status/913833780552626177,80,743,1141,SenBobCasey,C001070,D,PA
6054,152481,2017-09-29 18:08:00,Treasury should make this study available so the American people can have the facts about who benefits from tax cutäó_  ,https://twitter.com/SenBobCasey/status/913827948326768640,23,184,284,SenBobCasey,C001070,D,PA
6055,152482,2017-09-29 16:49:00,"The @latimes came to the same conclusion: ""the standard deduction won't be a windfall for some average Americans""  ",https://twitter.com/SenBobCasey/status/913808043682525184,5,40,57,SenBobCasey,C001070,D,PA
6056,152483,2017-09-29 16:48:00,A rundown of how the GOP tax plan will actually raise taxes on some middle-class families  ,https://twitter.com/SenBobCasey/status/913807675934347264,37,195,171,SenBobCasey,C001070,D,PA
