Accident Number,Event Date,Investigation Type,Location,Country,Latitude,Longitude,Airport Code,Airport Name,Injury Severity,Fatal,Aircraft Damage,Registration Number,Make,Model,Amateur Built,Number of Engines,Engine Type,Purpose of Flight,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad Phase of Flight,Final Narrative,Narrative Cause
CHI01LA057,01/01/2001,Accident,"Lincoln, IL",United States,,,3LC,Lincoln Airport,Non-Fatal,Non-Fatal,Substantial,N737WQ,Cessna,172N,No,1,Reciprocating,Personal,,,,2,VMC,TAKEOFF,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The pilot said he performed a normal landing to runway 03 (4000 feet by 75 feet, dry asphalt), at the Lincoln-Logan County Airport, Lincoln, Illinois.  He said the airplane settled on the runway approximately 1,000 feet down from the runway threshold.  The pilot raised the flaps and applied full power.  The airplane lifted, came back down, and veered to the right.  The pilot said the airplane plowed into the snow, nosed over, and came to rest upside down.  An examination of the airplane revealed no anomalies.","The pilot's failure to maintain directional control on the runway.  Factors relating to this accident were the aborted takeoff attempt, the pilot's improper in-flight planning/decision, and  the snowbank."
CHI01LA061,01/01/2001,Accident,"Port Huron, MI",United States,,,PHN,St. Clair County Int'l,Non-Fatal,Non-Fatal,Substantial,N2184N,Mooney,M20S,No,1,Reciprocating,Personal,,,,1,VMC,LANDING,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The airplane contacted a snow bank on the side of the runway during landing.  The landing was being made on runway 04 (5,103 feet by 100 feet).  The pilot reported the winds were from the northwest at 10 knots and that a ""minimal"" crosswind correction was required on final approach.  He continued to report that just prior to touchdown while 2 feet above the runway ""…a significant gust ballooned the aircraft 5-6 ft. above the runway where the aircraft stalled and began to settle abruptly with a nose high attitude.""  The pilot added power in an attempt to recover, however, the airplane traveled to the right side of the runway where it contacted a snow bank and spun around prior to coming to rest.  The local weather observation, taken 5 minutes prior to the accident, reported winds from 270 degrees at 11 knots, gusting to 18 knots.



T",The pilot failed to maintain directional control of the airplane and the runway selected resulted in a tailwind condition.  Factors associated  with the accident were the gusty crosswind and the snow bank.
LAX01LA068,01/01/2001,Accident,"Placerville, CA",United States,,,,Private,Non-Fatal,Non-Fatal,Destroyed,N94LW,Wallace,Rotorway EXEC 152,Yes,1,Reciprocating,Instructional,,,,1,VMC,MANEUVERING,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The student pilot finished building the helicopter and this was its first flight.  He had received 11 hours of flight instruction and was endorsed for hover only solo.  The pilot reported that he was 1-2 feet in the air and as he began backing the helicopter the tail rotor guard struck the ground, the main rotor struck the tail boom, and the left skid struck the ground.  The skid collapsed and the helicopter rolled over.  After exiting, the pilot attempted to right the helicopter, but fuel leaking from the fuel cap ignited when it contacted the exhaust.  The helicopter was destroyed in the subsequent fire.",The failure of the student pilot to maintain adequate ground clearance while hovering.
MIA01LA054,01/02/2001,Accident,"Naples, FL",United States,26.15° N,81.78° W,APF,Naples Municipal,Non-Fatal,Non-Fatal,Substantial,N45CF,Beech,200,No,2,Turbo Prop,Personal,,,,7,VMC,TAXI,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The airplane was parked by an unknown person from Naples Airport Authority after landing several days earlier and according to personnel from the Naples Airport Authority, remained in the same position that it had been parked from then to the arrival of the pilot to depart on the accident date.  The pilot stated that personnel from Naples Airport Authority were busy and unable to take several passengers to the airplane from the fixed base operator (FBO).  During the preflight, he noted the light pole was just behind the outboard side of the right wing.  He obtained his IFR clearance and was cleared to taxi.  He began to taxi without a marshaller and with a row of airplanes ahead of his location, he initiated an immediate left turn to maintain right wingtip clearance with parked airplanes.  During the turn, the right horizontal stabilizer contacted the light pole.  Individuals nearby who witnessed the collision ran near the airplane and got the pilots attention who then secured the airplane.  According to a Federal Aviation Administration airworthiness inspector who examined the airplane, the leading edge of the right horizontal stabilizer and the forward and aft spars of the vertical stabilizer were damaged.  Examination of the area where the airplane had been parked revealed double concentric circles pole painted on the ramp centered on the light pole; the outer circle had a radius of approximately 32 feet.  Radial lines were painted on the ramp from the base of the light pole to the inner circle line.  A north/south oriented taxiway line west of where the airplane had been parked was blacked out; no leadout line was noted from the spot where the airplane had been parked forward to the blacked out taxiway line.",The failure of the pilot to obtain assistance from the FBO in the form of a marshaller and failure of the pilot to maintain clearance resulting in the on-ground collision with the light pole.
ANC01LA028,01/03/2001,Accident,"Atmautluak, AK",United States,60.87° N,162.28° W,4A2,Atmautluak,Non-Fatal,Non-Fatal,Substantial,N19771,Cessna,172,No,1,Reciprocating,,,,,3,VMC,APPROACH,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The certificated commercial pilot stated that while on final approach to runway 33, he inadvertently allowed the airplane to descend below his intended glide path.  In an attempt to arrest the descent he applied full engine power, but the airplane continued to descend.  The airplane inadvertently touched down on the snow-covered approach end of the runway, about 15 yards short of the runway surface.  As he attempted to abort the landing, the airplane become airborne, drifted to the left of the runway, and settled into an area of soft snow.   During the second touchdown, the nose wheel collapsed at the firewall bulkhead.  The airplane sustained substantial damage to the engine firewall.",The pilot's failure to maintain a proper glidepath during final approach.  A factor associated with the accident was soft terrain.
NYC01IA072,01/03/2001,Incident,"Covington, KY",United States,,,,,Incident,Non-Fatal,Minor,N933CA,Bombardier,CL-600-2B19,No,2,Turbo Fan,,,,,46,VMC,APPROACH,"NTSB investigators used data provided by various sources and may not have traveled in support of this investigation to prepare this aircraft incident report.

During climbout, an airframe vibration developed.  All gauges, readouts, synoptic pages, and airplane controls were normal.  The crew contacted their maintenance base and attempted to troubleshoot the problem, but could not determine its cause.  The vibration remained unchanged until the airplane leveled off at 7,000 feet during an approach.  At that time, the crew felt a bump, then the vibration completely ceased.  The airplane landed, and taxied to the gate without further incident.  Post-flight inspection revealed that the number 1 exhaust fairing was missing, and that the left, aft fuselage had a dent.  The 30 bolts that would have normally attached the exhaust nozzle assembly to the exhaust frame were all missing, ""without a trace.""  Seven months earlier, the tailpipe was found loose.  Ten bolts were replaced, and the rest were re-torqued.  The last inspection on the airplane had been completed about 2 weeks earlier, 105 hours prior to the incident.   Company personnel had previously found cracked bolts on exhaust flanges from other engines.  Laboratory examination of used bolts from another engine revealed no anomalies.  Engine shop buildup and shop exit  manuals were subsequently revised to make the installation and torquing of exhaust nozzle bolts a required inspection item.",Missing exhaust nozzle bolts for undetermined reasons.  A factor was inadequate maintenance inspection of the affected area.
CHI01LA060,01/04/2001,Accident,"Sioux Falls, SD",United States,,,FSD,JOE FOSS FIELD,Non-Fatal,Non-Fatal,Substantial,N727SP,Cessna,172S,No,1,Reciprocating,Instructional,,,,1,VMC,TAKEOFF,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The student pilot lost directional control of the aircraft during a takeoff run while practicing solo touch-and-go landings.  The pilot stated that after a successful landing he initiated a takeoff and, ""as I added power the airplane seemed to shimmy at which time I tried to correct the plane.  As I was unable to correct I powered back to idle and tried to stop which is when the plane went off the left side of the runway and hit a windrow of snow.""  The pilot reported, ""Hitting the snow made the planes [plane's] tail lift and spin around which made the right wing hit the ground causing damage.""  The pilot stated that his total time in all aircraft was 24.1-hours and all hours were flown in the accident airplane make and model.  The pilot reported that he had accumulated 1.4-hours of pilot-in-command time.",Aircraft directional control not being maintained by the student pilot during the takeoff roll.  Factors to the accident were the snow bank and the student pilot's lack of total experience.
DEN01LA038,01/04/2001,Accident,"Eden, UT",United States,41.30° N,111.82° W,NONE,Farm Field,Non-Fatal,Non-Fatal,Substantial,N26HV,Aviat,A-1A,No,1,Reciprocating,Personal,,,,1,VMC,LANDING,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The pilot was planning to practice landings on a snow covered field near his home.  He said there was 2 to 3 inches of snow at his house, but he did not check the snow conditions in the field before the flight.  The pilot said he was flying low over the field, dragging one tire in the snow.  The crust covering the snow broke, and the tire was pulled into the snow.  The airplane nosed over to the inverted position.",the pilot's failure to maintain aircraft control during a landing attempt.  A contributing factor was his failure to check the snow conditions in the field before the flight.
FTW01LA045,01/04/2001,Accident,"BRISTOW, OK",United States,35.14° N,96.43° W,3F7,Jones Memorial,Non-Fatal,Non-Fatal,Substantial,N68472,Cessna,152,No,1,Reciprocating,Instructional,,,,1,VMC,LANDING,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The student pilot reported that a crosswind kept the airplane left of the runway's centerline.  The airplane's left main landing gear struck a snow bank and the airplane veered off the runway.  The pilot applied full power; however, the airplane nosed down, the left wing and propeller struck the ground, and the airplane returned to a level attitude before coming to rest.","The pilot's inadequate compensation for the crosswind conditions, which resulted in the airplane striking a snow bank during the landing flare/touchdown.  A factor was the crosswind weather condition."
IAD01LA022,01/04/2001,Accident,"Schenectady, NY",United States,42.85° N,73.93° W,SCH,SCHENECTADY COUNTY AIRPORT,Non-Fatal,Non-Fatal,Substantial,N435JL,Learjet,35,No,2,Turbo Fan,Positioning,,,,3,VMC,TAKEOFF,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The captain stated that prior to departure the flight controls were tested, with no abnormalities noted, and the takeoff trim was set to the ""middle of the takeoff range,"" without referring to any available pitch trim charts.  During the takeoff roll, the pilot attempted to rotate the airplane twice, and then aborted the takeoff halfway down the 4,840 foot long runway, because the controls ""didn't feel right.""  The airplane traveled off the departure end of the runway and through a fence, and came to rest near a road.  The pilot reported no particular malfunction with the airplane.  Examination of the airplane revealed that the horizontal stabilizer was positioned at -4.6 degrees, the maximum nose down limit within the takeoff range.  The horizontal stabilizer trim and elevator controls were checked, and moved freely through their full ranges of travel.  According to the AFM TAKEOFF TRIM C.G. FUNCTION chart, a horizontal stabilizer trim setting of -7.2 was appropriate with the calculated C.G. of 20% MAC.  Additionally, Learjet certification testing data stated that the pull force required at a trim setting of -6.0 degrees, the ""middle of the takeoff range"", was 33 pounds.  With the trim set at the full nose down position (-1.7 degrees), 132 pounds of force was required.","The pilot's improper trim setting, which resulted in a runway overrun and impact with a fence."
FTW01LA046,01/05/2001,Accident,"DEL RIO, TX",United States,30.00° N,100.00° W,NONE,Wardlaw White Ranch,Non-Fatal,Non-Fatal,Substantial,N45373,Cessna,177RG,No,1,Reciprocating,Personal,,,,3,VMC,TAKEOFF,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The pilot reported that during the takeoff roll to the northwest, the airplane had lifted off the runway and traveled along the ground when the left wing was ""hit by wind shear.""  The aircraft drifted to the left and the left wing impacted a tree.  The airplane struck the ground, the nose gear collapsed, and the airplane came to rest nose down in a ravine.  The pilot reported the wind from the northwest at 10-12 knots.",The pilot's inadequate compensation for the winds.  A factor was the windshear.
LAX01IA073,01/05/2001,Incident,"Honolulu, HI",United States,,,,,Incident,Non-Fatal,,N470EV,Boeing,747-200F,No,4,Turbo Fan,,,,,3,VMC,CRUISE,"NTSB investigators used data provided by various sources and may not have traveled in support of this investigation to prepare this aircraft incident report.

The transport category airplane developed an electrical burning odor about 1 hour after departure while at an altitude of 34,000 feet msl.  The flight engineer noted smoke emanating from the center console.  Following an uneventful landing, mechanics and FAA inspectors found a hot lower incandescent lamp dimmer, which burned the mechanic nearly 2 hours after electrical power was removed from the component.  The dimmer and its corresponding circuit breakers were removed and examined.  Scorching was noted around the dimmer LV1 lead and on the lower side of both circuit breaker covers.  The switch and related circuit breakers were sent to the National Transportation Safety Board Materials Laboratory for examination, but were lost in transit.","the failure of the lighting dimmer switch or circuit components for undetermined reasons, which resulted in smoke in the cockpit."
