date,nextday_RET,headline,direction
2020-01-02,-0.00168,BUZZ-Norwegian Air: Hopes for Boeing deal drive shares.,down
2020-01-02,-0.00168,AIRBUS <AIR.PA> SHARES UP 1.3 PERCENT .,down
2020-01-02,-0.00168,"AIRBUS <AIR.PA> SHARES EXTEND GAINS, STOCK UP 2.2 PERCENT AFTER REUTERS REPORTS THAT AIRBUS BEATS GOAL WITH 863 JET DELIVERIES IN 2019, OUSTS BOEING FROM TOP SPOT.",down
2020-01-02,-0.00168,HM DUNN AEROSYSTEMS - DOES NOT EXPECT TO FURLOUGH PEOPLE AT THIS TIME DUE TO TEMPORARY SUSPENSION OF WORK ON PROGRAM.,down
2020-01-02,-0.00168,Reuters Insider - Trading at Noon: Tracking oil markets as we head into 2020.,down
2020-01-02,-0.00168,"Reuters Insider - Markets: new year, new cheer (but not for PMIs).",down
2020-01-02,-0.00168,"HM DUNN AEROSYSTEMS - TO PROVIDE ALTERNATE ASSIGNMENTS FOR MEMBERS IMPACTED BY BOEING COMMERCIAL AIRPLANES', SPIRIT AEROSYSTEMS' TEMPORARY SUSPENSION OF 737 MAX PRODUCTION.",down
2020-01-02,-0.00168,MEDIA-American Airlines plans to share Boeing 737 Max compensation with employees - CNBC.,down
2020-01-02,-0.00168,"Reuters Insider - Reuters Today: European markets cheer China policy easing, trade progress.",down
2020-01-02,-0.00168,AMERICAN AIRLINES GROUP SAYS IT IS CURRENTLY IN TALKS WITH BOEING AS TO WHAT COMPENSATION FOR 737 MAX GROUNDING LOOKS LIKE - STATEMENT.,down
2020-01-02,-0.00168,BRIEF-American Airlines Says Currently In Talks With Boeing About Compensation For 737 Max Grounding .,down
2020-01-02,-0.00168,Major commercial plane crash deaths worldwide fell by more than 50% in 2019 -group.,down
2020-01-02,-0.00168,AMERICAN AIRLINES GROUP-ANTICIPATE PART OF ANY COMPENSATION CO RECEIVES FOR 737 MAX GROUNDING  WILL BE ELIGIBLE FOR PROFIT SHARING FOR CO'S TEAM.,down
2020-01-02,-0.00168,Reuters Insider - Boeing's bad year ends with a victory for Airbus.,down
2020-01-02,-0.00168,BUZZ-Airbus: Up after unofficial figures show record 2019 .,down
2020-01-02,-0.00168,"Reuters Insider - U.S. Morning Call: Bullish start to 2020 on Beijing stimulus, trade deal.",down
2020-01-02,-0.00168,NYSE ORDER IMBALANCE <BA.N> 119248.0 SHARES ON BUY SIDE,down
2020-01-03,0.002945,"Reuters Insider - Reuters Today: Stocks fall, oil rises after U.S. kills top Iranian general in Baghdad.",up
2020-01-03,0.002945,"Reuters Insider - Reuters Today: Stocks fall, oil rises after U.S. kills top Iranian general in Baghdad",up
2020-01-03,0.002945,Ryanair's O'Leary prepared for more 737 Max delays - Wiwo.,up
2020-01-03,0.002945,UPDATE 2-Ryanair CEO says group may not get 737 MAX until October - report.,up
2020-01-03,0.002945,UPDATE 1-UK Stocks-Factors to watch on Jan. 3.,up
2020-01-03,0.002945,RYANAIR CEO O'LEARY TELLS GERMANY'S WIRTSCHAFTSWOCHE IT IS NOW POSSIBLE AIRLINE WILL ONLY GET FIRST BOEING 737 MAX JETS IN OCTOBER.,up
2020-01-03,0.002945,UPDATE 1-Ryanair's O'Leary prepared for more 737 MAX delays -Wiwo.,up
2020-01-06,0.010607,Mexico's Aeromexico reaches compensation agreement with Boeing on MAX crisis.,up
2020-01-06,0.010607,GRUPO AEROMEXICO SAB DE CV - DETAILS OF AGREEMENT WITH BOEING ARE PRIVILEGED AND CONFIDENTIAL.,up
2020-01-06,0.010607,GRUPO AEROMEXICO SAB DE CV - HAS RECENTLY REACHED A CONFIDENTIAL COMPENSATION AGREEMENT WITH BOEING COMPANY.,up
2020-01-06,0.010607,GRUPO AEROMEXICO - REACHED COMPENSATION AGREEMENT WITH BOEING TO MITIGATE COSTS ARISING FROM TEMPORARY GROUNDING OF AIRLINE'S BOEING 737 MAX AIRCRAFT.,up
