Company,Consumer.complaint.narrative
Wells Fargo & Company,"I had been problem with well Fargo Bank I 'm hearing impaired. First of all I walk in there and consumer talk to me about new open credit card but no interpreter there I did n't understand first thing how to use credit card to make pay that day so I have been frustrated with debit bills and they harrasement me mail and force me to make pay over XXXX I decide to file complain about well fargo bank 
"
Wells Fargo & Company,"Complaint Against : Wells Fargo Financial National BankI was charged a {$25.00} late fee on a {$500.00} remaining balance for paying {$120.00} well ahead of the due date but not covering the full "" minimum '' payment of approximately {$190.00}. When I explained the details of the situation, they did not acknowledge the best effort I made to be current and refused to waive the fees since in their determination it was not a Wells Fargo Error. The fee is unfair, and their choice to not waive the fee was a horrible busines practice and abusive in nature as it rested on "" There is no beneift to us having to waive the fee '' Bankground Details : In XX/XX/XXXX I purchased a hot tup and took advantage of a dealer finance option that used a Wells Fargo Outdoor Solution credit card to provide XXXX months interest free financing. The total amount financed was approximately {$5500.00}. On XXXX I paid XXXX, on XX/XX/XXXX I paid {$2500.00} and knew there was a {$500.00} remaining balance. Given I had XXXX months interest free financing, I just diveded by XXXX and set my bill pay to send {$120.00} each month. On XXXX my XXXX {$120.00} payment was made. When I got a collection notice it showed the payment received but a late charge of {$25.00}. I immediately paid all the remaining principle of {$370.00} on XXXX and currently have a {$25.00} balance made exclusively of the fee. When I contacted Wells Fargo at XXXX they transferred me. The rep I spoke to spoke to his supervisor XXXX times about my situation and XXXX times said he could not waive the fee even after I explained the situation. When I asked to file a complaint, the rep was n't aware of anyway to file a complaint. He offered for me to speak with his supervisor. I spoke with supervisor "" XXXX '' who said she would file a payment dispute. She continued to say they would not waive the fee as Wells Fargo did n't make an error. She kept saying they send out statements and that I just need to read them. My main point of frustation and complaint is that I was paying at an accelerated rate and made a best faith attempt to not only be current but pay more than required. What I failed to realize, is even though the account has credit card access they based the minumum payment on 3.5 % of the ORIGINAL balance. My accelerated payments did n't do anything to change the minimum on what I thought was a credit card account. Because I planned out my payment strategy up front, I did n't look at the billing as they came and did n't realize their unusual therefore to a small extent deceptive minimum payment process. When I asked how frequently they get these issues, they would not answer, which makes me think it is fairly common. I sincerely believe there is an ongoing business practice to extract fees from otherwise interest free accounts without regard to customer concern or reasonable waiver policies. They went as far to partially blame current regulatory environment for not allowing discretionary waivers. My hope with this complaint is to get the {$25.00} fee waived if possible, but more importantly to ensure Wells Fargo Financial National Bank is required to have a better complaint program than they seem to. They only took the billing dispute when I made them and did not know about any complaint program. Then to make matters worse the billing dispute can take XXXX days - my balance would have been paid off for over XXXX days by that point. They do n't need 60 days. 
"
Wells Fargo & Company,"I wanted to know what interest rate might be to get a credit card for my mother to use for some upcoming dental work. I filled out an online application, just to see, got the interest rate information, and decided NOT to apply. I believe I did cancel the application, but the card came in the mail anyway. 
When I could n't get past all the barriers on their website, I phoned the company to CANCEL the card. The representative told me that my mother had to speak to him herself, or that I needed to send my POA documentation to them, in order to close/cancel the account. 
My mother, who has XXXX and lives in an XXXX, was NOT involved in any part of this process. 
Additionally concerning is the fact that she was turned down by another company because she has no credit history for the past 20 years or more. This company appears to have made no inquiries at all as to her creditworthiness. 
"
Wells Fargo & Company,"Approximately two years ago I opened up a secure credit card with Wells Fargo Bank for {$1000.00}. Over the course of this last year in 2014 I have experienced some financial hardships. However, at this time I am trying to repair my credit ; the XXXX step was to deposit into the holders of my credit cards. I have XXXX with XXXX XXXX and a secured card with Wells Fargo. The account with Wells Fargo is a secured XXXX credit card ; I made a {$1000.00} deposit 2 years ago. I was over the credit limit allowed for several months. On XXXX XXXX I made a payment into the Wells Fargo secured card for {$1100.00} to date the money has not yet been available to me. I have made several phone calls over the last 7 days and I was informed that there was a hold placed on the deposit to ensure it was clear from my bank. I informed them the money had posted to my XXXX XXXX XXXX account and was no longer available to me and that it should have been credited to the Wells Fargo account. Finally after one week of a waiting for these funds to be available I have been informed today that the account was closed on XXXX XXXX. After the card underwriter in the credit services department at Wells Fargo reviewed my credit history she informed me that they would not be able to reopen my Wells Fargo secured card a nd then I was tranferred back to the customer services dept of the credit services department I was told I would not be receiving my refund of the {$1000.00} dollars collateral for at least 45 to 60 days. I expressed my profound disappointment and anger as I need these funds for my day to day living. I have bills that desperately need to be paid and my intent was to pay them from the funds deposited to that card. When I asked for a supervisor I was disconnected. When I called back to speak with a supervisor I was told that I did not meet the criteria for a rush of my {$1000.00} back to me. I am a relatively new XXXX and I an a single parent with children in XXXX. I can not afford to have {$1000.00} just sitting somewhere. 
"
Wells Fargo & Company,"Wells Fargo informed me that they made a "" business decision '' to close several of my accounts. I have serious concerns related to the credit card account and associated cash back rewards account which were closed, with that said : I have concerns in that the {$1700.00} in earned cash back rewards ( see attached .xls ) which were part of the promotional offer extended to me in exchange for account opening will not be honored. The referenced {$1700.00} in pending cash back rewards were earned by me and due to vest on XXXX XXXX 2015 in conjunction with the advertised promotional offer. The subject 5 % cash back promotional offer extended to me had several conditions which were required for the account holder to qualify for the promotional payment. I fulfilled all of the required obligations to meet the requirements outlined by Wells Fargo under the terms and conditions to qualify for and earn under the 5 % promotional offer, curiously however Wells Fargo asserts in their response dated XXXX XXXX that '' as of the date of this letter, this account does not have any cash rewards that are eligible for redemption and we respectfully decline to fulfill your request to credit {$1700.00} to your account '' After carefully considering my objections below I respectfully request that Wells Fargo review their prior response dated XXXX XXXX 2015 for accuracy and legal standing to address the issue of my pending cash back rewards balance of {$1700.00} which was set to vest on XXXX XXXX 2015. These cash back rewards funds were earned and are rightfully owed to me. Account limitation and closure appears to be an action taken as direct retaliation for my insistence that Wells Fargo honor their promotional agreement. Denial of full payment on the cash back rewards balance related to the promotional offer is ill advised, unethical, fraudulent & entirely unacceptable behavior which will not be tolerated. 

Wells Fargo 's actions with respect to the aforementioned account closure & denial of payment on the cash back rewards balance constitute fraud in the inducement, bait and switch and failure of specific performance related to the terms and conditions of the promotional offer which all parties expressly agreed to be bound by and was the basis for the bargain at the time of account opening. 

Wells Fargo is within it 's rights to close my account, however to allow me to complete all of my responsibilities with respect to the promotional offer and then arbitrarily seek to avoid payment on a previously earned cash back rewards balance is a procedural and substantive unconscionability on Wells Fargo 's part. Unconscionability is a doctrine in contract law that describes terms that are so extremely unjust, or overwhelmingly one-sided in favor of the party who has the superior bargaining power, that they are contrary to good conscience. Furthermore, under common law an offer can not be revoked after it has been accepted. Moreover, in this instance performance remains and consideration is due so Wells Fargo has a duty and obligation to pay the full amount of my earned cash back rewards balance related to the promotional offer. Wells Fargo 's failure to pay the full amount of my cash back rewards balance related to the promotional offer for which I had fully qualified and Wells Fargo 's refusal to state a valid reason for account closure constitutes bad faith as it would appear that the account was closed solely with the intention of depriving the account holder of the promotional payment. 

It is undisputed that a valid contract with acceptance and performance exists which lacks consideration and justice so requires Wells Fargo honor it 's obligation under the contract to provide payment in full ( {$1700.00} ) on the disputed cash back rewards balance related to the promotional offer for all of the reasons outlined above. 

Respectfully Submitted, XXXX XXXX 
"
Wells Fargo & Company,"I have a Dillard 's American Express card. I want to import the transactions into my XXXX software, but I can not. I can not get through to the customer service to get them to establish the online code/link to be able to get the ledger of the transactions. 
"
Wells Fargo & Company,"i do not have time to even do thi.si was assessed interest by wells fargo where i have many accounts. 
i am writing this so something other than the system will help me. between medical bills, moving and my customership which is excellent i should not have to beg for XXXX dollar. i know it was refunded I also know if someone took the time they would see how i pay and keep my account. 
i do not expect to be put thru this. i want my XXXX back of interest., i will never sign a cc agreement with minumum interest charge again. I did not pay maybe XXXX doillas and now this. i do not have time or XXXX intactedness to spend time on this. i am tired of scripts. i will not use my card til this is addressed. scripts are great but getting to know customers is even better esp a good XXXX like me 
"
Wells Fargo & Company,"Wells Fargo 's informed me that they made a "" business decision '' to close some of my accounts. I have numerous concerns related to the accounts which are slated for closure, with that said : Since Wells Fargo has determined to close my cash back visa signature card account through no fault of my own, I am left with serious concerns that my pending cash rewards will be forfeited & that my rights related to the Fair Credit Reporting Act have been violated. 
"
Wells Fargo & Company,"I have XXXX credit card accounts with Wells Fargo. I accidentally paid off the wrongcard and now they have charged me the accrued interest on the only remainingcard. I mixed them up and paid off the card that was n't due until XXXX and thecard due in XX/XX/XXXX has been charged over {$900.00} in interest. Both the other cards were paid off. I did not have any late payments, all monthly payments on all XXXXcards were paid on time previously and I have excellent credit. This was a terrible oversight as I have XXXX serious illnesses and I am on XXXX. I have sent them a letter by a fax XXXX times and they have not responded. I can pay off the entire balance due ( minus the deferred interest ). 
I have no money otherwise for this deferred interest as I am on a strict budgetfrom XXXX. This was a terrible mistake and I am begging someone to helpme with this. 
"
Wells Fargo & Company,"I found that Wells Fargo reported to a credit reporting agency that I owed them a debt of {$420.00} on XXXX 2012 on a credit card account. I never opened a credit card account with Wells Fargo and have no knowledge of any credit card charges made on a Wells Fargo credit card in my name. I wrote to Wells Fargo and informed them of these facts. I also told Wells Fargo that I believed that these charges were fraudulent and suspected that I had been a victim of identity theft. I requested that Wells Fargo conduct an investigation into the matter and that Wells Fargo provide to me all account documents and billing statements related to this claimed debt so that I could determine whether I had been a victim of identity theft as I suspected. Wells Fargo responded but refused my request for documentation and its response does not indicate that it conducted any investigation into my claim that I had been the victim of credit card fraud and identity theft. 
"
