reviews,ratings
"  Great movie. Great telling based on a trues story. ""Miracle on the Hudson.""",50
  Good. Fascinating and educational and gripping all at once.,40
"  I like what Eastwood did with the structure. He doesn't spent the first half of the movie showing the disaster then the second half showing the aftermath. There is tension here beyond just the crash (or water landing). The NTSB simulation scenes were very interesting. I'm not sure if the NTSB was like that in real life, but I did think they were played a little too antagonistically here. I also thought the relationship between Sully and his wife was a little underdeveloped. But those are small issues in what otherwise was a very solid movie.",40
"  A beautiful and powerful film that brings a real life situation to the screen. Tom Hanks stars in this thrilling portrait of heroic airline pilot Chesley ""Sully"" Sullenberger, re-enacting his incredible successful emergency landing of an Airbus A320 full of passengers on the Hudson River.This movie has been out for a few years now, but I hadn't had the opportunity to watch it until recently. Tom Hanks is one of those guys where you know his films will probably be pretty good, at the least, and while I didn't love this film, it was certainly well made.One thing that really stood out to me was Tom Hanks performance. I think that he really brought out the psychological stakes that were present here and he gave us a character to care about. He alone brought so much to this film, but he was accompanied by some other great performances - like Aaron Eckhart.The story is told in a semi non-linear fashion, which I wasn't completely on board with. I think the story, overall, was well written, but it wasn't my favorite. It felt like we were jumping all around the place and the jumps felt kind of out of place. It felt like there wasn't a steady pace and that was my main issue with this film.Despite that being said, ""Sully"" is still a great film. It has its issues and it's not perfect, but it's well made.",40
"  Okay I guess, just not a very compelling character arc (ie not a very dynamic journey for the lead - he was right, he was sure he was right, he missed his wife, he was proven right).",25
"  A beautifully crafted round for Clint Eastwood which proves that even 208 seconds can turn into a well directed movie. Tom Hanks gives a compelling performance as a humble but thoughtful man who knows what is right. Eastwood's vision in the story is clear and rational. The movie makes perfect transitions between post event and current event. The supporting cast is also crafted and compelling as they know what is going on, and display how they feel in a way that accurately displays how someone who was I the cockpit would react differently than someone who was nowhere near what happened. The movie also has pretty well done special effects, and the movie is more believable in that way. Even if the watcher is an action fan, it is far from boring, because I am an action movie fan. Fans of all genres will love and appreciate Sully. Overall, it is a well directed, well acted, and realistic movie in many aspects. I would seriously recommend it, and it is absolutely worth watching.",50
"  Nicely made drama bends the real events into a story, in which the hero is forced to vindicate himself confronted with bureaucratic antagonism.",30
"  By now everyone reading this review would be somewhat aware of the Miracle on the Hudson. This film is based on the hero of that incident- the Captain Sullenberg. Featuring another solid performance by the ever-versatile Tom Hanks and careful direction by Clint Eastwood, Sully is an interesting look into the psyche of an everyday man who inadvertently becomes a hero. The audience always feels connected to Sully's plight as a reluctant target of the media and the post-traumatic stress he goes through in the aftermath of the crash. The only major issue I had with the film is that the supporting characters did not have much to work with. It just seemed like most of their dialogue was there merely to enhance the character development of Sully himself rather than to bring a different perspective to the story. (Incredible look at a hero's moment of valor).",35
"  No easy feat to tell a story everyone knows turned out happily in an interesting and exciting way. Eastwood manages by not giving a shit about chronology, finding just the right emotions and being able to rely on one of the most convincing actors working today. It's also a movie about New York coming together again and healing after events that did not end quite as well a few years earlier.",35
  I spent 14 years of my life as a member of the flight crew on a major airline. This film is awesome. I have no words - it is as near to a perfect depiction of real life as you could hope for. What else can one say?,50
