Product,Review
Apex AD2600 Progressive-scan DVD player," troubleshooting ad-2500 and ad-2600 no picture scrolling b/w . 
 repost from january 13 , 2004 with a better fit title . 
 does your apex dvd player only play dvd audio without video ? 
 or does it play audio and video but scrolling in black and white ? 
 before you try to return the player or waste hours calling apex tech support , or run the player over with your car , try these simple troubleshooting ideas first . 
 no picture : 
 hopefully you still have the remote control . 
 if you tossed it out the window , you need to fetch it . 
 using the remote control , press the i/p button located on the bottom right corner of the remote . 
 the i/p button switches the tv display between interlace and progressive . 
 if this doesnt bring back the picture , try pressing this button without playing a dvd . 
 if you dont get video back , now you can run the player over with your car ! 
 picture scrolling in b/w : 
 you need the remote control for this so you better get it from your dog before he burries it in the backyard . 
 press the p/n button located on the bottom right corner of the remote . 
 the p/n button switches your dvd players video output signal between pal and ntsc . 
 by pressing p/n , you should be able to get a good picture on the screen . 
 for other problems go to http://www.apexdigitalinc.com/support.asp 
 i hope i have helped you continue to enjoy the apex dvd player with these troubleshooting tips . 
 i have done some research and experimenting with the remote when my apex ad-2500 seemed to have lost its video signal . 
i/p button  im a more happier person after discovering the i/p button ! 
 the button was probably accidentally pushed to cause the black screen in the first place . 
dvd player  but , if you 're looking for my opinion of the apex dvd player , i love it ! 
dvd player  it practically plays almost everything you give it . 
player  i 've had the player for about 2 years now and it still performs nicely with the exception of an occasional wwhhhrrr sound from the motor . 
price  for the price it is a well spent investment ! 
 i would recommend buying one . 
"
Apex AD2600 Progressive-scan DVD player," incredibe price / performance . 
 i 've owned 6 or 7 dvd players since 1998 . 
dvd player  this is by far the nicest one , in so many ways . 
look ,panel button layout  it 's very sleek looking with a very good front panel button layout , and it has a great feature set . 
forward , rewind  its fast-forward and rewind work much more smoothly and consistently than those of other models i 've had . 
video format  it plays alternate video formats ( vcds , svcds , cvds ) very well . 
price  and amazon.com has it for such a great price -- how can you go wrong ? 
 i 've bought one for the den and will buy a 2nd one for the bedroom . 
 strengths are well listed by other reviewers . 
play , dvd-r  what got me to buy was the reviewer that said it would play dvd-rs fill of files ( e. , mp3s ) . 
dvd-r  it sure does ! 
dvd-r  that 's a rare and valuable feature . 
 i have a dvd burner on my computer and a zillion mp3s , and it 's a lot nicer to access them 4.5 gb at a time ( dvd-r ) than 0.7 gb at a time ( cd-r ) ! 
audio output  another nice thing is that the unit has both optical and coax digital audio outputs , though the latter was not mentioned in the literature i 'd scanned before buying . 
 saved me from having to buy an expensive optical cable , as i already had a coax cable . 
forward  at double-speed ( 2x forward speed ) , it still plays mp3s with sound -- they are pitch-corrected and smooth , but twice as fast ! 
 i wish it would do the same for movies , but that 's one rare / cool feature you will have to forgo . 
remote control , mp3 filename  weaknesses are minor : the feel and layout of the remote control are only so-so ; it does n't show the complete filenames of mp3s with really long names ; you must cycle through every zoom setting ( 2x , 3x , 4x , 1/2x , etc. ) before getting back to normal size [ sorry if i 'm just ignorant of a way to get back to 1x quickly ] . 
 if you 're a bargain hunter and you want a great feature set for a rock-bottom price , i highly recommend this model . 
finish  update : the finish is more "" mirror "" than silver -- and i like it ! 
"
Apex AD2600 Progressive-scan DVD player," doesnt play new disney movies . 
play , disney movie  many of our disney movies do n't play on this dvd player . 
 i spoke to a rep. at apex and was told that a new format is being used and we wont be able to view any disney movies made in the last couple months . 
"
Apex AD2600 Progressive-scan DVD player," poor quality - problem with dual-layer dvd 's . 
dual-layer dvd  player has a problem with dual-layer dvd 's such as alias season 1 and season 2 . 
 for the money , get a better quality player . 
player , look  player works and looks great - if you can get the dvd 's to play . 
player  i know the saying is "" you get what you pay for "" but at this stage of game dvd players must have better quality than this - there is no excuse . 
apex  will never purchase apex again . 
customer service , technical support  customer service and technical support are overloaded and nonresponsive - tells you about the quality of their products and their willingness to stand behind them . 
 pass this player up , and never believe the reviews on a product right before christmas ! 
"
Apex AD2600 Progressive-scan DVD player," has destroyed several of my dvds and cds . 
case  for the first few weeks , this player was everything i expected it to be , an affordable multi-format dvd player with a stylish slim case as advertised . 
dvd , read , play  then my dvds would stop playing in the middle , or not even be read at all . 
cd  new cds almost always began skipping after a few plays . 
player  i thought it was just the player , but then i started checking the discs to find that the apex 2600 is actually ruining my media . 
 there are funny little ridges on the dvd that look like the slice of a tree trunk ! 
player  this player is not worth any price and i recommend that you do n't purchase it . 
 i intend to contact the company , but from what i 've read . 
 i just got screwed out of fifty bucks . 
support  apex does n't answer the phone . 
   sigh . 
"
Apex AD2600 Progressive-scan DVD player," their customer service sucks . 
customer service  no way to contact their customer service . 
quality  very bad quality . 
"
Apex AD2600 Progressive-scan DVD player," great value . 
player  i bought this apex 2600 dvd player for myself at christmas because it got good reviews as a good value for the money on a variety of different sites . 
player  i took it to my father 's house to play a tom jones concert dvd and he loved the player so much i gave it to him . 
 now i need to buy myself another one ! 
player  have used it frequently and have had no problems . 
 i always research electronics online before i buy because even within the same company , some models are better than others . 
player  i liked this one enough to buy another . 
apex  my dad also has an apex tv and it was another great value for the money . 
picture quality  great quality picture and features . 
"
Apex AD2600 Progressive-scan DVD player," 2 out of three ai n't good . 
 thought i 'd weigh in here with my stats . 
 i 've bought 3 apex dvd players now . 
player  they play just about everything , but # 2 and # 3 died very shortly after getting them . 
 i am back to using # 1 . 
player  nice machines , but i consider their quality pretty low now . 
"
Apex AD2600 Progressive-scan DVD player," buy a better known brand name . 
player  this item broke just two weeks after i gave it to my kids for christmas . 
door  the door would not close . 
customer service  i tried to contact apex to return it ( i missed the amazon return period ) and it took 3 months to get through to their customer service dept . 
 i am still trying to resolve it four months later . 
"
Apex AD2600 Progressive-scan DVD player," piece of crap .. . 
look , feature  it looks great - and is loaded with features . 
player  unfortunately it turns out to be the "" disposable "" type . 
player  have had problems since the first day 
play , dvd  - not playing some dvds and then finally after less than 60 days , it just would not recognize anything i pop in it . 
 save money on the long run - buy something decent once instead of buying cheap every month . 
"
