feature,rating,text
features,-2," There isn't much features on the iPod at all, except games."
sound,2,SOUND QUALITY: The iPod's sound quality is pretty good.
equalizer,-1," It has an equalizer, but the iRiver H10-20GB has a lot more presets than the iPod. "
treble,2,The bass is deep and the treble is clear.
battery,-2,"  DURABILITY: Not good. First problem, if you haven't seen the news recently, the iPods are being recalled for battery problems and not lasting the advertised 18 months."
Replaceable battery,-3,"Also, the battery's AREN'T USER REPLACEABLE."
flip side,-2," Another thing you should know, the metal on the flip side of the iPod is very tacky, and scratches very easily."
case,-2," Also, not liking the gel case. "
features,-3," FEATURES: Really, there aren't any features, unless you call the games a feature. "
FM tuner,-3,"There is no FM tuner, while there is no FM tuner on the Creative Zen (on the micro version of the Zen there is a tuner), the iRiver H10-20GB, the Rio Karma, and the iAudio X5 have FM tuners. "
voice recording,-3," There is also no voice recording, something most if not all MP3 players have that the iPod doesn't."
photo viewing,-1," There is no photo viewing option, however, there is a 20 GB photo iPod, but it costs $20 more."
use,3,"  EASE OF USE/DESIGN: The iPod is a very easy to use MP3 player, and if you can't figure this out, you shouldn't even own one."
iTunes,-1,I'm probably the only person that dislikes the iTunes software. 
CUSTOMER SERVICE,-3," CUSTOMER SERVICE: Awful. Listen to this one, remember the battery statement I made earlier. "
technical service,-3, There technical service isn't helpful either; they just read what's on their website and charge you $50 (+ toll fees) to do it.
design,2,"OVERALL: I highly dislike the iPod, even though the sound quality and design is above-average. "
Ipod,2,The Ipod is a fine cousin to the early macs and current offerings from Jobs and Company. 
Apple,2,"Long live Apple, long live Macs, and long live the Ipod!     "
ipod,2,I have an ipod and it is a great buy. 
sturdy,2, Very sturdy and strong.
games,-1, Doesn't have alot of good games on it.
service,-2,"iPod is brilliant, but service was awful"
iTunes,2,"The software with the iPod includes iTunes, which allows you to play the music on your computer, rip CDs onto your computer, and move your music from the computer to the iPod. "
click wheel,2,This new click wheel iPod allows you to navigate through the menus and song via a touch-wheel for scrolling and click-able buttons for selection.  
ear buds,3," The song quality of the iPod is excellent, and the included ear buds are actually more than satisfactory, for most users."
scratches,-1," The back of the iPod is in a chrome finish, and this surface is prone to scratches. "
Battery life,1," Battery life keeps improving on the iPod, and a new iPod will give you up to twelve hours of play time, per charge. "
Apple,2,Thank you Apple!  You make fabulous products. 
product,2," The product I rate five stars, "
service,-2,but I had to give you four because the service for my brand-new iPod was terribly slow.
Amazon,2,"  Plus, if you order from Amazon.com, they will exchange it for you no problem.  "
interface,-1, The interface took a little getting used to.
display,2," This one has a color display, which I like a lot, being very visual. "
photos,2,"I loaded a lot of photos into it and they display very clearly for such a small screen and, very importantly, the transition from one photo to the next is instantaneous. "
sound,1, The sound is just fine. 
adapter,1,"It comes with an adapter to plug into the wall, which I hear is a step up from the other iPods, which require you plug it into a computer to charge it.  "
photo quality,-1, One caveat I have is that I understand the iPod does not save the photos in such a way that the quality of the image is preserved.
affordable,2, Pros: Large Hard Drive for the $$-- 20GB and 40GB are both affordable. 
Screen,2,"Decently Sized Screen-- One of the larger ones on the market at 2"" "
Battery,1,"Decent Battery-- On the average size, but the 40GB comes with a dock.  "
USB,3," FireWire & USB2.0-- For those fortunate enough to have FireWire400, your in for a real treat with autosync."
Design,3," Great Design-- Very sleek and touch wheel has still never been successfully copied (vertal ones are the only competition); and now the wheel clicks, taking away a lot of headaches from 3rd gen and very navigable in the menus. "
compact,1,"Good sound-- Plays very nicely, even though the stock headphones are kind of weak Durable-- not the most durable because its mostly plastic, but very compact and sturdy "
Games,1,"Games-- not really important, but existant "
Hold,1,"Hold Button-- suprisingly not all MP3s have this; this allows you  to have all the buttons unusable, so that you don't accidently hit something in your pocket. "
Radio Tuner,-2, Cons: No AM/FM Radio Tuner-- Something a large number of competetors are doing
Voice Recorder,-2,3 No Voice Recorder-- this has also become an important and popular feature that the iPod unfortunately doesn't have.
Memory Stick slots,-2," No Memory Stick slots-- Although a rare feature, it would be nice to have extra storage, not that it needs it Built-in Lithium Battery-- A huge hassle to bring this back; draining the battery once you get it helps, but removable/replaceable ones are a lot more convenient"
iTunes,1,". iTunes-- this is a love-hate relationship program; usually people with Mac like this program than people with a PC, but depending on your computer expertise, this could be a difficult program to use, and it is required for an iPod. "
accessories,-1,"No inbox accessories-- An arm strap, belt strap, case, or anything would be nice, but nope... Moveable parts-- This makes me almost want to keep my 3rd gen over a 4th; with moveable parts, its easy to damage an iPod at a gym, so this is for more casual listeners; note the iPod Mini doesn't have moveable parts and is made of titanium."
Overall,1,"  Comments: Overall this is still a great value, but is kind of overrated in the sense that there are beater deals on the market."
Versatile,2,Versatile and stylish.	 
iTunes,2,"I had a Casio unit, which had given great service, and would have been happy to get another one, but was tempted by the iPod's sleek design, storage capacity, connection options- - firewire and USB, and its integration with iTunes.   "
battery,-1,"The battery issue is superficially a concern, but any reasonable solder-jockey (such as myself :-) can pop in a new one when the time comes (based upon the plentiful info gained from a google for 'ipod battery replacement').   "
controls,2,The controls and the menus are clearly displayed and easily fathomed  
iPod,2," The iPod is a very nice product, which given reasonable care, should give a lot of service.      "
iPod,-1," First, let me say that I got the 20gb iPod for Christmas, and I most likely would not have spent the $300 myself. "
battery,-2,"In addition, I do not think the battery lasts much more than eight to ten hours, and it can take four hours for a full charge."
quality,2," I have about 6 gb used on my iPod so far (well over 1000 songs), and as far as I can tell, all of them play at near-cd quality."
use,3,"Other than the fact that one can't delete a file directly from the iPod, the interface is excellent and mind-numbingly simple to use.  "
iTunes,1," As for iTunes, I don't find it to be as good as the Windows Media Player as a computer mp3 player, but it is good enough. "
iPod,2," In conclusion, I gave the iPod a 4/5 because anything this expensive should would work just about flawlessly."
sensitive,-2, *The ipod is overly sensitive to just about everything and gets scratched easily. 
Battery,-1,The Battery does not last 12 hours.  
battery,-2," You can't change the battery, so I don't know what I'm going to do in a year or so."
volume,-1,"  *	You can't turn the volume up very high, but I think this might be for health reasons. *	"
freezes,-1,"My ipod freezes occasionally, which is especially annoying when you're in the middle of a game of ""brick."" *"
apple,-2,"If you call apple and tell them your ipod has been damaged, they charge you roughly $105.50 per minute and blame you for ""abusing"" your ipod."
support service,-2, The user support service isn't too great either.  
iPod,2,Everything I Wanted! The Apple iPod has become one of the most sought-after electronic gadgets - and for good reason.
iTunes,2," Its sleek design, large memory capacity, compatibility with iTunes, and ease of use makes this one of the best portable digital listening devices on the market. "
capacity,2," Unless you have an enormous music/audio book library, the 20 GB model should have more than adequate storage capacity, with a stated ability to hold 5000 songs.  "
iTunes,2," Features: click wheel to navigate; ability to work with Windows or Mac; optional backlighting (you can have it on all the time, or have it shut off to save battery power after 5, 10, or 20 seconds); ability to download PDA info; automatic or manual download from iTunes when iPod is plugged into your computer. "
equalizer,2,"There's even an equalizer (under ""settings"") that allows you to adjust the sound for acoustic, bass booster, bass reducer, classical, dance, ""deep"", and electronic."
accessories,1,"  With accessories, you can make the iPod into a digital recorder, broadcast it remotely through stereo speakers using wireless technology, and play it through your car speakers using either a CD adaptor or FM stereo broadcaster. "
reformatted,-2," The iPod comes formatted for the Mac, but within seconds of plugging it into a PC, is automatically reformatted for Windows.  (The HP version comes with Windows formatting, and takes seconds to change to Mac.) Although the iPod can be changed from one format to another, you will lose all of your music and data when doing so. "
ITunes,2,ITunes can be downloaded from the enclosed CD or for free from the Apple site.    
steel backing,-2," Its steel backing picks up fingerprints and scratches easily, not great from a cosmetic standpoint.  "
device,2,"All in all, this is a wonderful device.  "
solid feel,2,"  The weight is heavier than many digital players, but I like the solid feel. "
scratch,-2,Holy cow! It really does scratch easily!	
scratches,-2,"  The thing has survived plenty of falls with little or no damage, except the inevitable scratches."
Apple,2,"  Apple has definately fulfilled its reputation in making quality equipment, and surprisingly wasn't as expensive as its reputation normally holds.  "
Apple,-2,"Apple closed their island to anything that resembled Microsoft, and clearly let Napster know it could not use their products with Napster's services. "
Battery,2, Battery non-issue. 
use,2,"Finally, compare the iPod to other players on a cost/Gb, and also consider ease of use. "
iPod,2,The iPod is not overpriced compared to the market.
purchase,2,This is the best purchase I've made in a very long time.
bass,3,"The sound is INCREDIBLE; very clean, very wide dynamic range of bass, mids and highs, and can be very loud if I turn it up full blast."
Versatile,2,The Great And Versatile iPod	 I love my iPod! 
controls,2," The sound quality is excellent, accessing the music is easy, and the controls are generally well thought out. "
iTunes,-1,"As a Windows user, I had to install the software including drivers and iTunes on my desktop, and this is the only area where I encountered a nuisance. "
